Hydrophilicity,Charge,Sigma,FWater,FLi,FCl,FMg
0.5,-9,1.346421,5197,60,58,45
0.5,-9,1.846421,3989,40,39,28
0.5,-9,2.346421,3352,26,19,28
0.5,-9,2.846421,3124,34,11,19
0.5,-9,3.346421,5082,80,24,42
0.5,-9,3.846421,5906,81,15,42
0.5,-9,4.346421,5450,65,15,41
0.5,-6,1.346421,7284,80,127,67
0.5,-6,1.846421,5602,66,89,47
0.5,-6,2.346421,4611,46,52,34
0.5,-6,2.846421,4870,50,35,27
0.5,-6,3.346421,5216,65,32,29
0.5,-6,3.846421,6447,85,20,26
0.5,-6,4.346421,5706,60,4,4
0.5,-3,1.346421,9164,102,233,93
0.5,-3,1.846421,8021,84,188,80
0.5,-3,2.346421,6088,59,101,43
0.5,-3,2.846421,5862,67,77,34
0.5,-3,3.346421,6242,62,67,33
0.5,-3,3.846421,5464,53,16,2
0.5,-3,4.346421,6038,53,4,1
0.5,0,1.346421,10790,123,385,112
0.5,0,1.846421,8451,85,243,69
0.5,0,2.346421,6632,71,183,49
0.5,0,2.846421,6753,63,151,27
0.5,0,3.346421,5827,40,102,11
0.5,0,3.846421,5819,32,35,0
0.5,0,4.346421,5218,21,14,0
0.5,3,1.346421,11644,125,483,105
0.5,3,1.846421,8212,72,320,52
0.5,3,2.346421,7436,60,268,42
0.5,3,2.846421,6355,40,186,16
0.5,3,3.346421,6387,41,167,4
0.5,3,3.846421,5635,18,86,0
0.5,3,4.346421,5045,4,48,0
0.5,6,1.346421,9399,79,424,62
0.5,6,1.846421,7680,59,341,37
0.5,6,2.346421,6905,44,277,22
0.5,6,2.846421,6664,46,263,12
0.5,6,3.346421,5871,20,214,1
0.5,6,3.846421,5351,6,166,0
0.5,6,4.346421,4873,4,142,0
0.5,9,1.346421,7642,48,407,39
0.5,9,1.846421,7527,37,407,29
0.5,9,2.346421,6816,34,353,21
0.5,9,2.846421,5912,25,285,8
0.5,9,3.346421,5602,20,257,2
0.5,9,3.846421,4995,5,206,0
0.5,9,4.346421,4755,1,196,0
0.8,-9,1.346421,2938,24,36,15
0.8,-9,1.846421,2108,13,19,3
0.8,-9,2.346421,1604,9,8,6
0.8,-9,2.846421,1493,13,5,3
0.8,-9,3.346421,2411,32,7,10
0.8,-9,3.846421,4670,50,18,30
0.8,-9,4.346421,4595,59,6,15
0.8,-6,1.346421,4410,32,56,25
0.8,-6,1.846421,3411,27,48,18
0.8,-6,2.346421,2477,19,25,8
0.8,-6,2.846421,2499,23,16,8
0.8,-6,3.346421,2780,38,10,10
0.8,-6,3.846421,5070,62,4,10
0.8,-6,4.346421,5168,40,6,5
0.8,-3,1.346421,5596,49,127,34
0.8,-3,1.846421,4443,36,79,27
0.8,-3,2.346421,3291,24,49,9
0.8,-3,2.846421,3308,23,47,15
0.8,-3,3.346421,4253,32,30,7
0.8,-3,3.846421,5381,42,16,1
0.8,-3,4.346421,5370,37,3,1
0.8,0,1.346421,7651,63,240,57
0.8,0,1.846421,6041,47,167,35
0.8,0,2.346421,4809,43,95,15
0.8,0,2.846421,4661,26,89,11
0.8,0,3.346421,5680,42,99,8
0.8,0,3.846421,5157,29,56,2
0.8,0,4.346421,5226,22,25,0
0.8,3,1.346421,8611,76,336,64
0.8,3,1.846421,6655,46,248,36
0.8,3,2.346421,6005,40,191,23
